date,modality,sample_id,position_id,observation,approximate_location,source_note,record_scope
260826,SAM,11,4,まだらにシミ,,260826_実験ログ.md,view
260826,SAM,11,6,小さいシミ,,260826_実験ログ.md,view
260826,SAM,12,2,ゴミ1つ＋ちょっとシミ,,260826_実験ログ.md,view
260826,SAM,12,3,ゴミ1つ,,260826_実験ログ.md,view
260826,SAM,12,4,まだらにシミ,,260826_実験ログ.md,view
260826,SAM,12,5,大きいシミ,右上,260826_実験ログ.md,view
260826,SAM,12,8,ゴミ1つ,,260826_実験ログ.md,view
260828,SAM,1,5,ゴミ1個,,260828_SAM実験.md,view
260828,SAM,1,7,ゴミ2個,,260828_SAM実験.md,view
260828,SAM,1,8,ゴミ1個,,260828_SAM実験.md,view
260828,SAM,2,1,ゴミ1個,,260828_SAM実験.md,view
260828,SAM,2,2,ゴミ1個,,260828_SAM実験.md,view
260828,SAM,3,8,シミ1個,,260828_SAM実験.md,view
260828,SAM,4,6,ゴミ1個,,260828_SAM実験.md,view
260828,SAM,5,1,シミ,,260828_SAM実験.md,view
260828,SAM,5,7,シミ,,260828_SAM実験.md,view
260828,SAM,5,8,ゴミ・シミ,,260828_SAM実験.md,view
260828,DNA,2,3,ゴミ2個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,3,2,ゴミ・シミ散在,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,3,3,ゴミ・シミ散在,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,3,4,傷・シミ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,3,ALL,ゴミ・シミ・傷多くやり直し候補,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,sample
260828,DNA,4,3,シミ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,4,7,傷・シミ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,4,8,傷・シミ多め,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,5,1,ゴミ1個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,6,4,大きな傷（確実に除外）,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,6,7,ゴミ1個＋シミ（中心から広がる）,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,6,8,大きめシミ3つ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,7,2,ゴミ1個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,7,3,ゴミ1個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,7,6,ゴミ2個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,7,9,ゴミ3個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,8,3,小さいシミ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,9,4,シミ1個,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,10,4,シミ大きい,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,11,1,大きなシミ,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,11,5,ゴミ・シミ多く解析除外予定,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,11,6,ゴミ・シミ多く解析除外予定,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,11,7,ゴミ・シミ多く解析除外予定,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,11,8,ゴミ・シミ多く解析除外予定,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260828,DNA,12,8,欠陥記録できていない（記録ミス）,,260828_pillar50nm_DNAハイブリダイゼーション_ミスマッチ.md,view
260829,SAM,2,4,シミ,,260829_SAM実験やり直し.md,view
260829,SAM,4,2,傷・シミ多め,,260829_SAM実験やり直し.md,view
260829,SAM,4,3,シミ,,260829_SAM実験やり直し.md,view
260829,SAM,5,5,大きいゴミ・シミ3個,,260829_SAM実験やり直し.md,view
260829,SAM,6,7,ゴミ1個・シミ1個,,260829_SAM実験やり直し.md,view
260829,SAM,7,1,大きめのゴミ1個,,260829_SAM実験やり直し.md,view
260829,SAM,7,2,ゴミ2個,,260829_SAM実験やり直し.md,view
260829,SAM,7,5,ゴミ1個,,260829_SAM実験やり直し.md,view
260829,SAM,8,3,ゴミ4個,,260829_SAM実験やり直し.md,view
